user_id,user_full_name,email,password,uzipcode,is_asker,is_vol,trust_score
1,Ada Lovelace,Ada@gmail.com,1815,94041,TRUE,,"""5"""
2,Grace Hopper,Grace@gmail.com,1906,94102,TRUE,TRUE,"""5"""
3,Edith Clarke,Edith@gmail.com,1833,94127,TRUE,,"""5"""
4,Evyln Boyd Granville,Evyln@gmail.com,1924,94123,TRUE,,"""5"""
5,Radia Perlman,Radia@gmail.com,1958,94123,,TRUE,"""5"""
6,Parisa Tabriz,Parisa@gmail.com,1983,94127,,TRUE,"""5"""
7,Jade Raymond,Jade@gmail.com,1975,94127,TRUE,,"""5"""
8,Corrine Yu,Corrine@gmail.com,1979,94102,,TRUE,"""5"""
9,Ashley,Ashley@gmail.com,1988,94041,,TRUE,"""5"""
10,Tracy Chou,Tracy@gmail.com,1987,94041,,TRUE,"""5"""
11,Judith,Judith@gmail.com,1988,94102,TRUE,,"""5"""
12,Marisa,Marisa@gmail.com,1990,94102,TRUE,,"""5"""
13,Annie,Annie@gmail.com,1989,94102,TRUE,,"""5"""
